Category	Name	URL	Primary Function	Notes
Conflict Tracker	LiveUAmap	https://liveuamap.com	Real-time conflict and military incident mapping	Fast global coverage
Conflict Tracker	DeepStateMap	https://deepstatemap.live	Frontline and territorial control mapping	Ukraine-specific
Conflict Tracker	ACLED	https://acleddata.com	Global conflict event database	High credibility structured data
Satellite Intelligence	Sentinel Hub	https://www.sentinel-hub.com	Open satellite imagery (optical & radar)	Free ESA data
Satellite Intelligence	NASA FIRMS	https://firms.modaps.eosdis.nasa.gov	Near-real-time fire/strike detection	Useful for artillery correlation
Satellite Intelligence	Google Earth Pro	https://earth.google.com	Historical satellite imagery & terrain analysis	Very accessible
Satellite Intelligence	Maxar Open Data	https://www.maxar.com/open-data	High-resolution conflict imagery	Authoritative visual confirmation
Satellite Intelligence	Planet Labs	https://www.planet.com	Daily commercial satellite imagery	Rapid change detection
Air Tracking	ADS-B Exchange	https://www.adsbexchange.com	Live military/government aircraft tracking	Unfiltered ADS-B data
Naval Tracking	MarineTraffic	https://www.marinetraffic.com	Global naval & vessel tracking	AIS-based monitoring
Analysis Network	Institute for the Study of War	https://understandingwar.org	Daily military reports and maps	Expert analysis
Analysis Network	Oryx	https://www.oryxspioenkop.com	Visually confirmed equipment losses	Gold standard
Analysis Network	Bellingcat	https://www.bellingcat.com	Investigative OSINT & geolocation	High transparency
Analysis Network	Janes Intelligence	https://www.janes.com	Military capabilities & deployments	Professional-grade OSINT
Crowdsourced OSINT	GeoConfirmed	https://geoconfirmed.org	Volunteer geolocation verification	High trust community
Crowdsourced OSINT	Twitter OSINT Sphere	https://twitter.com	Real-time crowdsourced reporting	Requires vetting
Crowdsourced OSINT	Telegram OSINT Channels	https://telegram.org	Raw frontline reporting	High noise/high value
Government Transparency	Conflict Observatory	https://hub.conflictobservatory.org	Verified war crimes documentation	US-backed OSINT
Government Transparency	NGA Tearline	https://www.tearline.mil	Public government OSINT reports	Satellite-driven
Government Transparency	UNOSAT	https://unosat.org	UN satellite damage assessments	Humanitarian focus
Strategic Data	SIPRI	https://www.sipri.org	Arms transfers & military expenditure data	Long-term strategic intel
